"station"	"year"	"lon"	"lat"	"month"	"year_month"	"depth"	"bot_sal"	"bot_sal_var"	"bot_T"	"bot_T_var"	"bot_oxy"	"bot_oxy_var"
"1"	10	2005	19.095	57.66167	"05"	"2005.05"	40.5	7.08158372614574	0.204944092405741	3.76374360979707	1.02139060378783	419.659526954148	30.7522272794008
"2"	100	2005	16.96783	58.37867	"06"	"2005.06"	20	6.15576861078848	0.490690283068268	12.5625709602709	5.912447755198	352.818591145255	42.2837930438309
"3"	100	2006	16.96783	58.37867	"05"	"2006.05"	20	5.94554980568511	0.360241075808903	9.69087640354915	6.57477417345288	452.826758643548	56.3750641816238
"4"	1000	2017	11.76918	57.63291	"05"	"2017.05"	12	19.1436215332782	2.83776854587798	10.6831870140151	5.69291062273912	303.645467009223	36.5709577755221
"5"	1001	2017	11.70297	57.64087	"05"	"2017.05"	25.2	25.9579419181918	1.90167176742474	9.30686760442767	4.80815404768316	299.613153550571	31.7375874414407
"6"	1002	2017	11.71213	57.65142	"05"	"2017.05"	19.7	22.9599826374397	2.43303439954722	9.99458990051448	5.19691443844347	299.372290534885	33.4865263599572
"7"	1003	2017	11.70923	57.66433	"05"	"2017.05"	12.7	22.8412167561238	2.68482091692176	10.2612482976612	5.27896577727821	296.650312742634	33.6042204546367
"8"	1004	2017	11.41227	58.17595	"05"	"2017.05"	13	22.0083427429199	3.07694020325729	10.7007713317871	5.60816802576532	320.925109863281	38.3307476069126
"9"	1004	2020	11.41227	58.17595	"05"	"2020.05"	13	28.1139335632324	2.60375908680454	9.44004726409912	4.18699393252257	315.294097900391	17.9868412745409
"10"	1005	2017	11.46389	58.18877	"05"	"2017.05"	13.4	24.7760791778564	2.95931246120671	11.3056154251099	5.78564902639351	327.884124755859	40.671067107604
"11"	1005	2020	11.46389	58.18877	"05"	"2020.05"	13.4	28.7042903900146	2.5341399221506	9.71585941314697	4.39136591136586	311.777648925781	20.429570041674
"12"	1006	2017	11.45165	58.18242	"05"	"2017.05"	10	22.0083427429199	3.07694020325729	10.7007713317871	5.60816802576532	320.925109863281	38.3307476069126
"13"	1006	2020	11.45165	58.18242	"05"	"2020.05"	10	28.1139335632324	2.60375908680454	9.44004726409912	4.18699393252257	315.294097900391	17.9868412745409
"14"	1007	2017	11.4282	58.18453	"05"	"2017.05"	12.4	22.0083427429199	3.07694020325729	10.7007713317871	5.60816802576532	320.925109863281	38.3307476069126
"15"	1007	2020	11.4282	58.18453	"05"	"2020.05"	12.4	28.1139335632324	2.60375908680454	9.44004726409912	4.18699393252257	315.294097900391	17.9868412745409
"16"	1008	2017	11.425	58.36882	"05"	"2017.05"	18.1	28.6053562164307	2.69394772006379	8.99887084960938	4.74431930572162	312.262664794922	35.7203706169445
"17"	1008	2019	11.425	58.36882	"05"	"2019.05"	18.1	30.8388366699219	2.57291400512189	8.74164772033691	4.43142379953564	321.83349609375	26.1869417841217
"18"	1009	2017	11.3907	58.33747	"05"	"2017.05"	30.1	28.8187926553166	2.36027544625414	9.05251947726273	4.69151450181015	312.767777403518	35.2815724142702
"19"	1009	2019	11.3907	58.33747	"05"	"2019.05"	30.1	30.8343369185759	2.28736300369361	8.62821413051737	4.28402746634512	321.571061556496	25.8702009610841
"20"	101	2005	16.80933	58.328	"06"	"2005.06"	22	6.46050238609314	0.501541759343165	11.1496901512146	5.1005285287026	368.72785949707	55.1498633292034
"21"	101	2006	16.80933	58.328	"05"	"2006.05"	22	6.14450263977051	0.435968235733298	7.31015872955322	6.11646241683231	435.184936523438	62.5133651917568
"22"	1010	2017	11.40557	58.1857	"05"	"2017.05"	17.7	22.0083427429199	3.07694020325729	10.7007713317871	5.60816802576532	320.925109863281	38.3307476069126
"23"	1010	2020	11.40557	58.1857	"05"	"2020.05"	17.7	28.1139335632324	2.60375908680454	9.44004726409912	4.18699393252257	315.294097900391	17.9868412745409
"24"	1011	2017	11.26211	58.62719	"05"	"2017.05"	16.3	28.9987807252212	2.20889810234931	9.22482685205578	4.89822337526448	314.044487422452	36.097586640182
"25"	1012	2017	11.27239	58.57211	"05"	"2017.05"	9.7	23.8698463439941	2.63629812448047	10.5893087387085	5.48082933646041	320.762786865234	36.7242125827523
"26"	1013	2017	11.25961	58.63539	"05"	"2017.05"	14.5	28.4543255516904	2.14467227825298	9.66767490363499	4.99143065347455	315.648047188384	36.2292439701972
"27"	1014	2017	11.79828	58.10107	"05"	"2017.05"	26.6	33.5630722045898	2.46777142001976	9.38802719116211	4.64967472525688	322.225280761719	50.3591731760334
"28"	1014	2019	11.79828	58.10107	"05"	"2019.05"	26.6	36.804573059082	2.700054241396	8.0177698135376	3.92935383690611	326.339447021484	71.7879283781766
"29"	1015	2017	11.79647	58.11625	"05"	"2017.05"	11.7	33.5630722045898	2.46777142001976	9.38802719116211	4.64967472525688	322.225280761719	50.3591731760334
"30"	1015	2019	11.79647	58.11625	"05"	"2019.05"	11.7	36.804573059082	2.700054241396	8.0177698135376	3.92935383690611	326.339447021484	71.7879283781766
"31"	1016	2017	11.82798	58.11788	"05"	"2017.05"	26.5	33.5630722045898	2.46777142001976	9.38802719116211	4.64967472525688	322.225280761719	50.3591731760334
"32"	1016	2019	11.82798	58.11788	"05"	"2019.05"	26.5	36.804573059082	2.700054241396	8.0177698135376	3.92935383690611	326.339447021484	71.7879283781766
"33"	1017	2017	11.24098	58.54098	"05"	"2017.05"	13.9	31.7194919586182	2.46792398168246	8.42095947265625	4.68139743348855	306.395324707031	35.2264514415683
"34"	1018	2017	11.24379	58.53581	"05"	"2017.05"	14.2	31.7194919586182	2.46792398168246	8.42095947265625	4.68139743348855	306.395324707031	35.2264514415683
"35"	1019	2017	11.25763	58.52614	"05"	"2017.05"	16	31.7194919586182	2.46792398168246	8.42095947265625	4.68139743348855	306.395324707031	35.2264514415683
"36"	102	2005	16.9345	58.20917	"06"	"2005.06"	34	6.47334366443025	0.492795705059909	10.8902836425455	4.8793916060564	371.930607545	37.0437010096189
"37"	102	2006	16.9345	58.20917	"05"	"2006.05"	34	6.17274027482472	0.429362796952158	6.86532859613785	5.95691311533577	440.415641719449	53.5011609036972
"38"	1020	2017	11.27306	58.53119	"05"	"2017.05"	13	31.7194919586182	2.46792398168246	8.42095947265625	4.68139743348855	306.395324707031	35.2264514415683
"39"	1021	2017	11.2512	58.52833	"05"	"2017.05"	13	31.7194919586182	2.46792398168246	8.42095947265625	4.68139743348855	306.395324707031	35.2264514415683
"40"	1022	2017	11.78058	58.29912	"05"	"2017.05"	23.7	23.4127902984619	2.74002884107577	11.1469278335571	5.92154068613688	328.669982910156	41.8245143476271
"41"	1022	2019	11.78058	58.29912	"05"	"2019.05"	23.7	23.9825649261475	4.08003427710099	10.8087596893311	5.5161733369874	327.416778564453	33.3415858138581
"42"	1023	2017	11.7726	58.28047	"05"	"2017.05"	12.9	23.4127902984619	2.74002884107577	11.1469278335571	5.92154068613688	328.669982910156	41.8245143476271
"43"	1023	2019	11.7726	58.28047	"05"	"2019.05"	12.9	23.9825649261475	4.08003427710099	10.8087596893311	5.5161733369874	327.416778564453	33.3415858138581
"44"	1024	2017	11.8016	58.26585	"05"	"2017.05"	21	23.4127902984619	2.74002884107577	11.1469278335571	5.92154068613688	328.669982910156	41.8245143476271
"45"	1024	2019	11.8016	58.26585	"05"	"2019.05"	21	23.9825649261475	4.08003427710099	10.8087596893311	5.5161733369874	327.416778564453	33.3415858138581
"46"	1025	2017	11.80657	58.2844	"05"	"2017.05"	30.5	23.4127902984619	2.74002884107577	11.1469278335571	5.92154068613688	328.669982910156	41.8245143476271
"47"	1025	2019	11.80657	58.2844	"05"	"2019.05"	30.5	23.9825649261475	4.08003427710099	10.8087596893311	5.5161733369874	327.416778564453	33.3415858138581
"48"	1026	2019	11.74207	58.30753	"05"	"2019.05"	42.9	23.9825649261475	4.08003427710099	10.8087596893311	5.5161733369874	327.416778564453	33.3415858138581
"49"	1027	2017	11.67483	58.29715	"05"	"2017.05"	26	23.4127902984619	2.74002884107577	11.1469278335571	5.92154068613688	328.669982910156	41.8245143476271
"50"	103	2005	16.8405	58.12067	"06"	"2005.06"	33	6.85130103089351	0.439049383341466	9.17463822815187	4.07182772595862	390.482528437831	34.1342343535623
"51"	103	2006	16.8405	58.12067	"05"	"2006.05"	33	6.37575213046382	0.405751858764765	7.23126051497632	5.44214071362726	439.288111635167	50.1463360587103
"52"	1030	2017	11.68169	58.30665	"05"	"2017.05"	11.5	23.4127902984619	2.74002884107577	11.1469278335571	5.92154068613688	328.669982910156	41.8245143476271
"53"	1032	2017	11.55719	57.95278	"05"	"2017.05"	11.8	30.1895822419097	2.22235948471355	9.3424965556391	4.79542047622544	317.782731472843	33.8748420018237
"54"	1032	2019	11.55719	57.95278	"05"	"2019.05"	11.8	32.2749483306241	2.2460788983915	8.51538253848447	4.70292239314366	301.673629134947	24.2604639914984
"55"	1033	2017	11.53453	57.97055	"05"	"2017.05"	9	26.3869826397865	2.50852151771531	10.0096546118236	5.0545795523359	317.23748451761	35.8491925470164
"56"	1033	2019	11.53453	57.97055	"05"	"2019.05"	9	27.5375824998454	2.83819944354173	9.47136456764999	4.871675475424	312.751025105596	26.6599405145089
"57"	1034	2017	11.55342	57.95692	"05"	"2017.05"	14.2	29.1358494124559	2.23930109218138	9.47263052470494	4.85518334089347	318.356099913402	33.9770510095905
"58"	1035	2017	11.54468	57.95404	"05"	"2017.05"	17.4	28.3393773651076	2.29948153770991	9.68671115761062	4.93471931802621	318.276442253561	34.1414321013751
"59"	1035	2019	11.54468	57.95404	"05"	"2019.05"	17.4	29.6861650911773	2.45666907722836	8.99420589431674	4.76435870849	305.915494755751	25.4112146707459
"60"	1036	2017	11.52798	57.95574	"05"	"2017.05"	26.2	25.4187543296317	2.63741008546875	9.99609854707873	5.16811806529807	317.573503727809	35.119501736607
"61"	1037	2017	11.04508	58.64983	"05"	"2017.05"	135	34.4663609039632	0.31242669130577	6.69408972206826	1.87500740619133	284.13402075717	65.5130613821446
"62"	1037	2019	11.04508	58.64983	"05"	"2019.05"	135	36.6259277829344	0.694829407038584	9.04709539986545	1.40103684469489	241.842257870337	76.1451301797206
