"station"	"year"	"lon"	"lat"	"non_NIS_Di"	"overall_Di"	"ratio_NISvsNAT"	"ratio_sp"	"non_NIS_Di_nw"	"overall_Di_nw"	"nbsp"	"sing.sp"	"FRic"	"FEve"	"FDiv"	"FDis"	"RaoQ"	"richness"	"Shannon"	"Simpson"	"Eveness"	"Mya.arenaria"	"Mya.arenaria_relab"	"mean_NIS_Di"	"Mya.arenaria_nw"	"Polydora.cornuta"	"Polydora.cornuta_relab"	"Polydora.cornuta_nw"	"Streblospio.benedicti"	"Streblospio.benedicti_relab"	"Streblospio.benedicti_nw"	"Marenzelleria"	"Marenzelleria_relab"	"Marenzelleria_nw"	"Potamopyrgus.antipodarum"	"Potamopyrgus.antipodarum_relab"	"Potamopyrgus.antipodarum_nw"
"1"	"936"	2014	11.40167	58.34667	0.193082296917053	0.193082296917053	0	0	0.217243893687261	0.217243893687261	34	34	253.159606473444	0.881710653620418	0.801305350261843	5.46613393447185	33	34	2.02093858152661	0.833118008768418	0.573094715477678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"222"	2018	12.038	57.38033	0.195853091382605	0.195853091382605	0	0	0.222783387667105	0.222783387667105	13	13	0.00160951425774994	0.822274344239302	0.775886650862475	3.25858826612727	12	13	1.72789223863459	0.775642183577616	0.673655498736489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"938"	2010	11.69	57.67	0.213456640510102	0.213456640510102	0	0	0.23903693247449	0.23903693247449	53	53	7831.41322964047	0.844201813062792	0.813163083719002	6.88372512233814	52	53	2.45084641965191	0.856876764125788	0.617296277708507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"912"	2017	12.69583	56.01167	0.225410796396086	0.225410796396086	0	0	0.23763290633584	0.23763290633584	42	42	2918.91112431648	0.839845308908903	0.806162312946026	6.14592534136324	41	42	0.653091868911966	0.236918353414608	0.174732369527063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"198"	2012	12.0641670227051	57.4463348388672	0.256073140490021	0.255107681032861	3.7959315437674	5.55555555555556	0.273749692316858	0.27244415773519	18	18	0.253521812151393	0.843060908774139	0.875521999962422	4.0659663425582	17	18	2.07754446946281	0.828963422591183	0.718781057760889	0.238694870261145	3.7959315437674	0.238694870261145	0.250250069846826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"939"	2009	11.805	58.107	0.214088350782776	0.214088350782776	0	0	0.233298968583862	0.233298968583862	28	28	27.3138734768806	0.837483474651949	0.799854423413793	4.95762755541286	27	28	2.12372458704182	0.784594629512323	0.637333207057618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"912"	2007	12.69583	56.01167	0.225754400615493	0.225754400615493	0	0	0.235685931296995	0.235685931296995	58	58	27072.138921928	0.882941236636586	0.820042158830448	7.35690703163407	57	58	2.12661919347096	0.78699750119428	0.52374068246922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"945"	2013	11.0415	57.93167	0.22730900758368	0.22730900758368	0	0	0.236030386617383	0.236030386617383	42	41	3553.32264321728	0.884850592968469	0.843815986200751	6.23824010817869	41	42	2.06874267061906	0.824972081458075	0.553484625955034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"938"	2006	11.69	57.67	0.212183974326625	0.212183974326625	0	0	0.23309754353655	0.23309754353655	45	45	2307.95220644636	0.870151200715585	0.824393266080594	6.38690427262743	44	45	2.41178126620514	0.856263112694961	0.633568453385701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	"911"	2005	12.4745	56.20117	0.22561068515341	0.22561068515341	0	0	0.235983707089408	0.235983707089408	63	63	51309.5486095316	0.863282131208614	NA	7.70253691953667	62	63	2.05066775988091	0.775257958165604	0.494955606154507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"911"	2006	12.4745	56.20117	0.238695949432127	0.238695949432127	0	0	0.243436332935892	0.243436332935892	62	62	34354.5128060651	0.841070642163038	0.807697662500744	7.6079675722831	61	62	0.706734162369645	0.233246761409306	0.171240889303372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	"216"	2007	12.05	57.40667	0.250152222941508	0.250152222941508	0	0	0.248095522997679	0.248095522997679	11	11	8.81251511516509e-05	0.816728141666192	0.86353216290692	3.10148853717203	10	11	1.23362643815317	0.602720814159927	0.51446218362719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"191"	2006	12.08333	57.26867	0.225542421269341	0.225542421269341	0	0	0.238709297769906	0.238709297769906	47	47	6736.23736444158	0.840271826255256	0.843947843652336	6.57469880161861	46	47	0.777877912990813	0.32414347036269	0.20203846539424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	"939"	2005	11.805	58.107	0.222574986148642	0.222574986148642	0	0	0.232813198318789	0.232813198318789	37	37	382.023536243768	0.863351834452845	0.833115727845224	5.82616202799004	36	37	1.81303724873397	0.696849080204456	0.502098716336176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
