"Size"	"Reproductive type"	"Adult life span"	"Developmental mechanism"	"Environmental position"	"Living Habits"	"Feeding method"	"Mobility"	"Movement method"	"Bioturbation"	"None"
"Leucothoe lilljborgii"	0.357519138236444	0.344783015212023	0.362226395380147	0.364426949955746	0.36717020926405	0.373345821113336	0.411202408186819	0.346637938273277	0.372033637830495	0.363203852827374	0.36553873388707
"Levinsenia gracilis"	0.248456948416816	0.256313355730696	0.242507008667102	0.214360286136464	0.274598531189812	0.244137289348029	0.271662585548383	0.22113923453653	0.245926125888587	0.269221013818605	0.248363919767546
"Limecola balthica"	0.155493419499944	0.157037958762784	0.156090649981265	0.166752177280648	0.159676049128029	0.151291988272839	0.155541175251919	0.162270473310438	0.164000704982211	0.165691381884493	0.159351933583153
"Littorina saxatilis"	0.282480800034815	0.296900878399253	0.281728505116322	0.311906770899095	0.24795580467895	0.303760795736428	0.259631899463815	0.300616463960336	0.298099056838666	0.273852732817419	0.286042480893083
"Lumbrineris"	0.246460992362386	0.241195663531632	0.24658137865669	0.231081281634092	0.256492768519585	0.265606063095972	0.236330436712728	0.221291290821225	0.274629462810171	0.269339292677871	0.24850552843395
"Macoma calcarea"	0.154878255623056	0.157669288028365	0.153381340615349	0.16669647839737	0.164705527765608	0.158239194780127	0.159617271243907	0.1613866429518	0.160166454940514	0.126825378331727	0.156237109525206
"Magelona alleni"	0.205450117795777	0.211157994258435	0.203389000851513	0.222670460020847	0.224234431376648	0.216144374110397	0.185889901794961	0.175985191059353	0.218545553880279	0.201058871280909	0.206194850471069
"Magelona minuta"	0.186183877440045	0.191043445883895	0.184122801099758	0.20171076759544	0.202057194610438	0.194839354968611	0.185402313678111	0.155871335588594	0.196765449836785	0.180099604603529	0.187451551343323
"Magelona mirabilis"	0.205444988912669	0.213453888165413	0.205565372471283	0.225087069932484	0.226822454371541	0.218677310509201	0.188478882027613	0.178281963024703	0.221078430335723	0.203476020707021	0.208348185359018
"Maldane sarsi"	0.281036684603341	0.290042044898626	0.268814422473753	0.268434253093046	0.312172293075164	0.27545647436474	0.309233928974846	0.25483894933761	0.282746376521448	0.261921039256183	0.279873387561857
"Marenzelleria"	0.236125365839445	0.24264182207075	0.23355518222955	0.219128521909101	0.244535046098274	0.249889707870072	0.241572322999354	0.246467884355891	0.252362552311485	0.193261570487229	0.23578148968387
"Melinna cristata"	0.304734911826389	0.314774020463709	0.302235177459419	0.295610701427125	0.339403683483775	0.302181892622828	0.336463099621245	0.279544331023033	0.288064386896212	0.270452768278275	0.302893689669226
"Microdeutopus"	0.373135967280413	0.361150701784973	0.372015959819779	0.381547170699044	0.385367129369903	0.393350865089279	0.418303607957827	0.363005619429461	0.387552575334319	0.380324077142373	0.380828265521379
"Monoporeia affinis"	0.22714171039547	0.215173374918913	0.23193723037066	0.220911118979759	0.244103037334635	0.253172416618386	0.245114611580299	0.249038767408296	0.242334511703976	0.257659952744	0.238233947972288
"Mya arenaria"	0.174632376140328	0.181030496086964	0.177255467466881	0.191066607944381	0.176564708605727	0.183004312525413	0.176309548864095	0.184770691093211	0.185421659589239	0.150950532823603	0.178070180368755
"Myrtea spinifera"	0.169231217929734	0.173294762347896	0.163280873383655	0.183170550475279	0.182382403606936	0.175057409484004	0.168349122290564	0.138118248128425	0.177458842598125	0.182417286990152	0.170908532476184
"Mysella bidentata"	0.162840202380555	0.166296460251901	0.160775748912641	0.175555995726355	0.141892139768729	0.144044127505441	0.168810865291042	0.170017654826823	0.175878891244524	0.17480159245861	0.16424192018301
"Mysia undata"	0.167915650774645	0.171793939520203	0.161964222078314	0.181473576101942	0.180420094887626	0.173176516593387	0.16638425671335	0.175510188941308	0.175578387247603	0.141614333282892	0.169430738819203
"Mysidae"	0.332621474246426	0.343567786961098	0.320407814494382	0.323897067152817	0.32344631420819	0.354661998031482	0.2973983481794	0.347283549998571	0.329334728186969	0.320875570345568	0.329593694306298
"Mytilus edulis"	0.316526174632528	0.327107873458896	0.31017340067076	0.343876634959227	0.301817726881902	0.313264423472399	0.336986635459207	0.289298359950734	0.308500837495927	0.303249097000558	0.314953498055577
"Nassarius incrassatus"	0.252406156409768	0.260012729254068	0.246444075661485	0.273416723712412	0.230634398913358	0.263673565080344	0.230312068239858	0.263735630133826	0.258000679238551	0.235287764084497	0.251654213260055
"Nemertea"	0.358893061092406	0.371093888681243	0.352476972738318	0.309813484463734	0.368862012341092	0.316101946030572	0.353455124067043	0.374827568827744	0.378943703125464	0.366742601214367	0.355305149686296
"Neomysis integer"	0.287793350764261	0.302717606188401	0.281213864881704	0.277651909228114	0.273187458704624	0.310571357122135	0.311522319275437	0.306432688396275	0.285248727927415	0.280186553426632	0.291567016196528
"Nephtys caeca"	0.187031230270185	0.194001620884912	0.188151997376993	0.20459160410882	0.204847094866478	0.197648883268003	0.15752556217888	0.177105224490148	0.186527915304083	0.203837934610623	0.190129396823578
"Nephtys ciliata"	0.185921937588741	0.192850522720579	0.187045189139545	0.203407072556742	0.203579837626156	0.195916644390766	0.165125537832356	0.175916671487668	0.178606233202905	0.202651732372772	0.189079979662972
"Nephtys hombergii"	0.210592935924393	0.218698715223087	0.210713739967841	0.211582851794628	0.232281094210165	0.219032089336015	0.184826046869975	0.201754646735587	0.213393659151517	0.229677300887377	0.21320555664182
"Nephtys incisa"	0.155575839938746	0.158376924416372	0.154066540685839	0.167470753508883	0.165449243482247	0.158934585065756	0.162487386627017	0.141341750369128	0.141041340490715	0.166710893786377	0.156995854276632
"Notomastus latericeus"	0.249726951743476	0.259941206006224	0.245948095339192	0.23830406878726	0.278639051597056	0.248024423039544	0.275694923861483	0.224669059165063	0.249818244832137	0.252117061062438	0.251786168314766
"Nucula nitidosa"	0.154296485937549	0.162997711512312	0.159969477816877	0.136597593230966	0.170590156002296	0.15842936213882	0.167627454182372	0.166746890045348	0.165918265023303	0.171547012244387	0.161305557845719
"Nucula sulcata"	0.153112330345586	0.161746777958047	0.158741784583624	0.13554926861819	0.16928095387798	0.157213488595311	0.166340989451627	0.165467183245223	0.164644917544634	0.170230466682125	0.160067610803847
"Nuculana pernula"	0.185782576981067	0.190548197962618	0.184719932619723	0.1656915765108	0.201315947698542	0.193660064000515	0.198376831736596	0.194267529552629	0.196063926709141	0.161224490145766	0.18693517883075
"Oligochaeta"	0.243391515009902	0.250291251937362	0.240894400592112	0.202841592210108	0.235323952081199	0.25892528676761	0.250637929791076	0.254008540950804	0.247484584108773	0.242523931596015	0.242616659885833
"Ophelina acuminata"	0.198062434508965	0.17353774975077	0.195566285664383	0.178928512290393	0.215491856868334	0.207530308878967	0.212555490865675	0.206786867948008	0.209931922433539	0.192705088768972	0.19867769854354
"Ophiura"	0.138020728151124	0.139908133012597	0.135525065763883	0.148027637812351	0.144761362629898	0.133216375835869	0.117987143833395	0.143623260484232	0.14725940816241	0.147274464537409	0.139628923284401
"Ophiura albida"	0.160107122130345	0.16890876881916	0.163245875594122	0.178310550258339	0.129868256544769	0.164723630496161	0.171783967326781	0.172626752505022	0.178777459197529	0.177556797938872	0.166695916134745
"Ostracoda"	0.29782129456001	0.282199050782818	0.296701301061833	0.296770368841515	0.308714848298837	0.329099071430951	0.3416078435787	0.322940135309392	0.303456546453676	0.297731716077618	0.307115098496778
"Owenia fusiformis"	0.244093029952277	0.251123778430831	0.241596570453346	0.228984021768002	0.268444963424286	0.238153446340583	0.263358131593864	0.254840092509898	0.239942761660971	0.20545422725784	0.243419771524149
"Oxydromus flexuosus"	0.171723927499582	0.175147556713238	0.169227722660994	0.184799389215894	0.183730986829701	0.171467742110007	0.158124057617593	0.178863491696303	0.146139300255237	0.184046052232968	0.172480943490435
"Paramphinome jeffreysi"	0.218727836109986	0.230567632837382	0.221864844386564	0.20762421811741	0.24591170337117	0.237389229491178	0.207559577751297	0.195387861918024	0.239790884933951	0.242263571647536	0.22433856154135
"Parvicardium minimum"	0.15815101181828	0.167032070940661	0.161287538315927	0.176517016871447	0.175186055684834	0.168034978402069	0.161153630562405	0.170747416692759	0.177058799781016	0.136667466502584	0.164997568044476
"Pectinaria auricoma"	0.302711316526212	0.2832252728281	0.296322243099284	0.329086253894222	0.337478120623643	0.30027591110388	0.334540088929124	0.277576179356391	0.287845895074648	0.268538009548891	0.301100736180792
"Pectinaria belgica"	0.281461218769373	0.260891983944705	0.275050068125739	0.305899064762012	0.31286557182265	0.281526271732665	0.309917387863777	0.25522337023079	0.283322564933567	0.245141598105052	0.280410143082368
"Pectinaria koreni"	0.261474901874956	0.240505906498925	0.255520752584551	0.284453710523002	0.290105939857191	0.259293255596996	0.287167917054789	0.234856830124511	0.261083357726874	0.244779593486446	0.261257086851028
"Pennatula phosphorea"	0.298163724904601	0.310411632756214	0.299284340295268	0.326271825844304	0.290184866870748	0.297731061405016	0.320029776780196	0.274982947965365	0.282869853679716	0.288202564893479	0.298742477420473
"Peringia ulvae"	0.249516506712521	0.268403183926804	0.254252144480998	0.263500276227316	0.240194293600251	0.273125204974854	0.284491967995784	0.272140648779997	0.247370111099231	0.244119934612794	0.259614409233944
"Perioculodes longimanus"	0.172497202172899	0.18781661702221	0.177204432307381	0.161458690663023	0.198357094380386	0.185731947114055	0.181702492842203	0.191531661973626	0.193152668908842	0.19753094530841	0.184425655832716
"Phascolion strombus"	0.177605161743654	0.181990682080765	0.171655533995422	0.156790698086865	0.191844059301664	0.179349642376169	0.188908267614634	0.185705806936212	0.186770523777527	0.171294891905098	0.178955722557983
"Phaxas pellucidus"	0.163042168596476	0.166652474660514	0.161980299440872	0.176061818984393	0.174623889280814	0.167503532210435	0.160586657840443	0.170369092974752	0.169905641286105	0.136198619541529	0.164608891414253
"Philine"	0.189493203848311	0.193823175852111	0.186996370119924	0.184148190604184	0.204601967487013	0.197416501028947	0.157289395976334	0.197540047021809	0.205968764196343	0.181694099170429	0.189933313928712
"Philine scabra"	0.220177315771373	0.226009084781483	0.21768154471378	0.201238941700151	0.240427788026066	0.232550325857606	0.193135353093703	0.229724374023482	0.241098949118914	0.198217830162764	0.219971225450254
"Philomedes"	0.297322627156764	0.281668692225085	0.296202615287217	0.298393254413091	0.302711246016214	0.334002794312971	0.341002907647994	0.322410445031911	0.302865152369356	0.29537232111862	0.306619159355302
"Pholoe baltica"	0.229267555607206	0.247066899888971	0.237867962930695	0.259999238213717	0.216625155084751	0.249829407510367	0.238003764756119	0.250783984458779	0.244165384451505	0.221929847683782	0.239620692063062
"Pholoe inornata"	0.229149542822811	0.246939725100937	0.237745523187534	0.259865406656256	0.2165136498277	0.249700810753945	0.237881255110562	0.250654896345072	0.2440397031845	0.221815611898452	0.239497350123144
"Pholoe minuta"	0.260413827190586	0.268377818484786	0.25835280866019	0.282122988432301	0.251102456142953	0.249525340314488	0.239642301219143	0.272092821556216	0.267098319720404	0.242277113541163	0.259414330536902
"Pholoe pallida"	0.229170273772603	0.241202324610268	0.232306936694503	0.253826308007452	0.210041490160149	0.243370038936307	0.23141102855074	0.244917831962552	0.237708419211632	0.215773070919478	0.234116406975415
"Phoronis muelleri"	0.247889909838233	0.218211457487423	0.241494523883711	0.268976600806549	0.273585037493019	0.237576956714953	0.259528866515238	0.220069659256014	0.244873235942073	0.268222108674627	0.247487822025469
"Phyllodoce groenlandica"	0.161743818585869	0.167443215026065	0.161864250823254	0.176757678775348	0.175202849834018	0.163095742093383	0.127893857822532	0.171159804990643	0.170519550018486	0.176004209007054	0.165309402920488
"Pisidium"	0.245956413859401	0.264784479152308	0.254552520441748	0.241933963403953	0.248017619839809	0.26959477899198	0.269816433100964	0.22961124678089	0.26393358829862	0.27800797400223	0.25626442573432
"Pistella lornensis"	0.25113013728593	0.259074848240365	0.249067532676856	0.237413629526447	0.277570430739428	0.241550247044388	0.274632476093824	0.223876658154948	0.24883913336892	0.250129323347465	0.250922684649836
"Polycirrus"	0.307736767047022	0.317800810474882	0.305240026373123	0.29869446607763	0.306654505057822	0.305298758099209	0.339562760703141	0.28261331226804	0.299497850604913	0.296029140669731	0.305666023889533
"Polydora ciliata"	0.266528657790981	0.245807626032006	0.260579113890056	0.289952194205284	0.295932617325113	0.25954061060492	0.29084748495024	0.2401629190806	0.266824028115451	0.251903410772041	0.266168044636562
"Polydora cornuta"	0.260694838196693	0.245190502287306	0.259942644890644	0.289358572416755	0.295366915583745	0.258966978861923	0.290281767880679	0.239545778320973	0.272872485999064	0.251309674292477	0.265624745675725
"Polynoidae"	0.223510535815242	0.229307964889406	0.221014889315478	0.241325433153749	0.201894291945767	0.207055025065682	0.224851757245107	0.233023068710407	0.22467065712194	0.220444597976558	0.222977549869428
"Polyphysia crassa"	0.151372299679001	0.153995471485214	0.148869778349786	0.127386819864664	0.16062592661561	0.153750158584152	0.157682064286252	0.157720809409947	0.156157903281707	0.162113999419028	0.152834940164274
"Pontoporeia femorata"	0.223439447878819	0.200400443174722	0.217477149804316	0.205452273024881	0.227426805162675	0.236619033967286	0.228421891404414	0.233713851737389	0.225957779871671	0.241602124640317	0.223783672305883
"Potamopyrgus antipodarum"	0.313030640732911	0.305437763396053	0.317739663008275	0.315220313551763	0.314612433221764	0.345892573511397	0.33522351827179	0.338692319402805	0.320240038371714	0.313996757785292	0.321727302699494
"Praxillella affinis"	0.162021969253976	0.16523602786094	0.149807697024749	0.137856211930692	0.173308176614974	0.166173767615874	0.17037173337318	0.168951977232413	0.168575444343277	0.173937248292333	0.163351037090108
